,년도,제품 및 서비스,매출액
0,2023,"TV, 모니터 등",303752
1,2022,"TV, 모니터 등",332795
2,2021,"TV, 모니터 등",314974
3,2023,스마트폰 등,1086325
4,2022,스마트폰 등,1154254
5,2021,스마트폰 등,1046806
6,2023,메모리,441254
7,2022,메모리,685349
8,2021,메모리,726022
9,2023,디스플레이 패널,309754
10,2022,디스플레이 패널,343826
11,2021,디스플레이 패널,317125
