,년도,DX 부문 매출액,DS 부문 매출액,SDC 부문 매출액,Harman 부문 매출액,기타 부문 매출액
0,2021,1662594,953872,317125,100399,-237942
1,2022,1824897,984553,343826,132137,-263099
2,2023,1699923,665945,309754,143885,-230152
