구분,연결대상회사수,연결대상회사수,연결대상회사수,연결대상회사수,주요종속회사수
구분,기초,증가,감소,기말,주요종속회사수
상장,-,-,-,-,-
비상장,232,6,6,232,146
합계,232,6,6,232,146
