부  문,품 목,제55기,제55기,제55기
부  문,품 목,가동 가능 시간,실제 가동 시간,가동률
DS 부문,메모리,"87,600","87,600",100.0%
SDC,디스플레이 패널,"43,800","43,800",100.0%
