평가대상유가증권,평가일,평가대상 유가증권의신용등급,평가회사,비고
"회사채US$ Bond('97년 발행,'27년 만기)",2021.07,AA-,S&P,정기평가
"회사채US$ Bond('97년 발행,'27년 만기)",2021.08,Aa3,Moody's,정기평가
"회사채US$ Bond('97년 발행,'27년 만기)",2022.08,AA-,S&P,정기평가
"회사채US$ Bond('97년 발행,'27년 만기)",2022.09,Aa2,Moody's,정기평가
"회사채US$ Bond('97년 발행,'27년 만기)",2023.07,AA-,S&P,정기평가
"회사채US$ Bond('97년 발행,'27년 만기)",2023.08,Aa2,Moody's,정기평가
