부  문,품 목,제55기,제55기,제55기
부  문,품 목,생산능력 대수,실제 생산 대수,가동률
DX 부문,"TV, 모니터 등","53,552","40,085",74.9%
DX 부문,스마트폰 등,"284,700","189,991",66.7%
