구   분,제55기말,제55기말,제54기말,제54기말
구   분,이자율 상승시,이자율 하락시,이자율 상승시,이자율 하락시
금융자산,"210,617","△210,617","72,750","△72,750"
금융부채,"△6,197","6,197","△8,427","8,427"
순효과,"204,420","△204,420","64,323","△64,323"
