부  문,매출유형,품   목,제55기,제54기,제53기
DX 부문,"제ㆍ상품,용역 및기타매출","TV, 모니터,냉장고, 세탁기,에어컨, 스마트폰,네트워크시스템,컴퓨터 등","1,699,923","1,824,897","1,662,594"
DS 부문,"제ㆍ상품,용역 및기타매출","DRAM,NAND Flash,모바일AP 등","665,945","984,553","953,872"
SDC,"제ㆍ상품,용역 및기타매출",스마트폰용 OLED 패널 등,"309,754","343,826","317,125"
Harman,"제ㆍ상품,용역 및기타매출","디지털 콕핏,카오디오,포터블 스피커 등","143,885","132,137","100,399"
기   타,부문간 내부거래 제거 등,부문간 내부거래 제거 등,"△230,152","△263,099","△237,942"
합     계,합     계,합     계,"2,589,355","3,022,314","2,796,048"
