과     목,과     목,제55기,제54기,제53기
연구개발비용 총계,연구개발비용 총계,"28,352,769","24,929,171","22,596,487"
(정부보조금),(정부보조금),"△13,045","△9,973","△1,053"
연구개발비용 계,연구개발비용 계,"28,339,724","24,919,198","22,595,434"
회계처리,개발비 자산화(무형자산),-,-,"△193,708"
회계처리,연구개발비(비용),"28,339,724","24,919,198","22,401,726"
연구개발비 / 매출액 비율[연구개발비용 총계÷당기매출액×100],연구개발비 / 매출액 비율[연구개발비용 총계÷당기매출액×100],10.9%,8.2%,8.1%
