구   분,제55기말,제55기말,제54기말,제54기말
구   분,환율 상승시,환율 하락시,환율 상승시,환율 하락시
USD,"418,776","△418,776","258,655","△258,655"
EUR,"151,740","△151,740","92,546","△92,546"
