구 분,자회사,사 유
신규연결,SVIC 62호 신기술투자조합,설립
신규연결,반도체 생태계 일반 사모 투자신탁,설립
신규연결,"Samsung Federal, Inc. (SFI)",설립
신규연결,"Samsung Display America Holdings, Inc. (SDAH)",설립
신규연결,eMagin Corporation,지분취득
신규연결,"Roon Labs, LLC.",지분취득
연결제외,"Dacor Holdings, Inc.",합병
연결제외,"Dacor, Inc.",합병
연결제외,Red Bend Software Ltd.,청산
연결제외,Harman Finance International GP S.a.r.l,청산
연결제외,"Harman Finance International, SCA",청산
연결제외,Harman Automotive UK Limited,청산
